From	Entry	Entry Name	Organism	Gene Names
A0AVK6	A0AVK6	E2F8_HUMAN	Homo sapiens (Human)	E2F8
A1A4S6	A1A4S6	RHG10_HUMAN	Homo sapiens (Human)	ARHGAP10 GRAF2
A1Z1Q3	A1Z1Q3	MACD2_HUMAN	Homo sapiens (Human)	MACROD2 C20orf133
A4D126	A4D126	ISPD_HUMAN	Homo sapiens (Human)	CRPPA ISPD
A4D1E9	A4D1E9	GTPBA_HUMAN	Homo sapiens (Human)	GTPBP10 OBGH2 UG0751c10
A4D2B0	A4D2B0	MBLC1_HUMAN	Homo sapiens (Human)	MBLAC1
A4GXA9	A4GXA9	EME2_HUMAN	Homo sapiens (Human)	EME2
A4UGR9	A4UGR9	XIRP2_HUMAN	Homo sapiens (Human)	XIRP2 CMYA3
A5YKK6	A5YKK6	CNOT1_HUMAN	Homo sapiens (Human)	CNOT1 CDC39 KIAA1007 NOT1 AD-005
A6H8Y1	A6H8Y1	BDP1_HUMAN	Homo sapiens (Human)	BDP1 KIAA1241 KIAA1689 TFNR
A6NEQ2	A6NEQ2	F181B_HUMAN	Homo sapiens (Human)	FAM181B
A6NHC0	A6NHC0	CAN8_HUMAN	Homo sapiens (Human)	CAPN8 NCL2
A6NHR9	A6NHR9	SMHD1_HUMAN	Homo sapiens (Human)	SMCHD1 KIAA0650
A6NIH7	A6NIH7	U119B_HUMAN	Homo sapiens (Human)	UNC119B
A7KAX9	A7KAX9	RHG32_HUMAN	Homo sapiens (Human)	ARHGAP32 GRIT KIAA0712 RICS
A8K8P3	A8K8P3	SFI1_HUMAN	Homo sapiens (Human)	SFI1 KIAA0542
A8MUM7	A8MUM7	LEG16_HUMAN	Homo sapiens (Human)	LGALS16
B2RXH2	B2RXH2	KDM4E_HUMAN	Homo sapiens (Human)	KDM4E KDM4DL
O00139	O00139	KIF2A_HUMAN	Homo sapiens (Human)	KIF2A KIF2 KNS2
O00141	O00141	SGK1_HUMAN	Homo sapiens (Human)	SGK1 SGK
O00159	O00159	MYO1C_HUMAN	Homo sapiens (Human)	MYO1C
O00167	O00167	EYA2_HUMAN	Homo sapiens (Human)	EYA2 EAB1
O00168	O00168	PLM_HUMAN	Homo sapiens (Human)	FXYD1 PLM
O00175	O00175	CCL24_HUMAN	Homo sapiens (Human)	CCL24 MPIF2 SCYA24
O00182	O00182	LEG9_HUMAN	Homo sapiens (Human)	LGALS9
O00187	O00187	MASP2_HUMAN	Homo sapiens (Human)	MASP2
O00198	O00198	HRK_HUMAN	Homo sapiens (Human)	HRK BID3
O00204	O00204	ST2B1_HUMAN	Homo sapiens (Human)	SULT2B1 HSST2
O00206	O00206	TLR4_HUMAN	Homo sapiens (Human)	TLR4
O00212	O00212	RHOD_HUMAN	Homo sapiens (Human)	RHOD ARHD
O00213	O00213	APBB1_HUMAN	Homo sapiens (Human)	APBB1 FE65 RIR
O00220	O00220	TR10A_HUMAN	Homo sapiens (Human)	TNFRSF10A APO2 DR4 TRAILR1
O00222	O00222	GRM8_HUMAN	Homo sapiens (Human)	GRM8 GPRC1H MGLUR8
O00241	O00241	SIRB1_HUMAN	Homo sapiens (Human)	SIRPB1
O00253	O00253	AGRP_HUMAN	Homo sapiens (Human)	AGRP AGRT ART
O00255	O00255	MEN1_HUMAN	Homo sapiens (Human)	MEN1 SCG2
O00268	O00268	TAF4_HUMAN	Homo sapiens (Human)	TAF4 TAF2C TAF2C1 TAF4A TAFII130 TAFII135
O00273	O00273	DFFA_HUMAN	Homo sapiens (Human)	DFFA DFF1 DFF45 H13
O00291	O00291	HIP1_HUMAN	Homo sapiens (Human)	HIP1
O00294	O00294	TULP1_HUMAN	Homo sapiens (Human)	TULP1 TUBL1
O00299	O00299	CLIC1_HUMAN	Homo sapiens (Human)	CLIC1 G6 NCC27
O00303	O00303	EIF3F_HUMAN	Homo sapiens (Human)	EIF3F EIF3S5
O00329	O00329	PK3CD_HUMAN	Homo sapiens (Human)	PIK3CD
O00330	O00330	ODPX_HUMAN	Homo sapiens (Human)	PDHX PDX1
O00338	O00338	ST1C2_HUMAN	Homo sapiens (Human)	SULT1C2 SULT1C1
O00391	O00391	QSOX1_HUMAN	Homo sapiens (Human)	QSOX1 QSCN6 UNQ2520/PRO6013
O00408	O00408	PDE2A_HUMAN	Homo sapiens (Human)	PDE2A
O00411	O00411	RPOM_HUMAN	Homo sapiens (Human)	POLRMT
O00418	O00418	EF2K_HUMAN	Homo sapiens (Human)	EEF2K
O00429	O00429	DNM1L_HUMAN	Homo sapiens (Human)	DNM1L DLP1 DRP1
O00443	O00443	P3C2A_HUMAN	Homo sapiens (Human)	PIK3C2A
O00444	O00444	PLK4_HUMAN	Homo sapiens (Human)	PLK4 SAK STK18
O00445	O00445	SYT5_HUMAN	Homo sapiens (Human)	SYT5
O00463	O00463	TRAF5_HUMAN	Homo sapiens (Human)	TRAF5 RNF84
O00472	O00472	ELL2_HUMAN	Homo sapiens (Human)	ELL2
O00481	O00481	BT3A1_HUMAN	Homo sapiens (Human)	BTN3A1 BTF5
O00482	O00482	NR5A2_HUMAN	Homo sapiens (Human)	NR5A2 B1F CPF FTF
O00488	O00488	ZN593_HUMAN	Homo sapiens (Human)	ZNF593 ZT86
O00512	O00512	BCL9_HUMAN	Homo sapiens (Human)	BCL9
O00522	O00522	KRIT1_HUMAN	Homo sapiens (Human)	KRIT1 CCM1
O00541	O00541	PESC_HUMAN	Homo sapiens (Human)	PES1
O00548	O00548	DLL1_HUMAN	Homo sapiens (Human)	DLL1 UNQ146/PRO172
O00555	O00555	CAC1A_HUMAN	Homo sapiens (Human)	CACNA1A CACH4 CACN3 CACNL1A4
O00560	O00560	SDCB1_HUMAN	Homo sapiens (Human)	SDCBP MDA9 SYCL
O00571	O00571	DDX3X_HUMAN	Homo sapiens (Human)	DDX3X DBX DDX3
O00602	O00602	FCN1_HUMAN	Homo sapiens (Human)	FCN1 FCNM
O00625	O00625	PIR_HUMAN	Homo sapiens (Human)	PIR
O00755	O00755	WNT7A_HUMAN	Homo sapiens (Human)	WNT7A
O00757	O00757	F16P2_HUMAN	Homo sapiens (Human)	FBP2
O00763	O00763	ACACB_HUMAN	Homo sapiens (Human)	ACACB ACC2 ACCB
O00764	O00764	PDXK_HUMAN	Homo sapiens (Human)	PDXK C21orf124 C21orf97 PKH PNK PRED79
O14490	O14490	DLGP1_HUMAN	Homo sapiens (Human)	DLGAP1 DAP1 GKAP
O14497	O14497	ARI1A_HUMAN	Homo sapiens (Human)	ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1
O14508	O14508	SOCS2_HUMAN	Homo sapiens (Human)	SOCS2 CIS2 SSI2 STATI2
O14520	O14520	AQP7_HUMAN	Homo sapiens (Human)	AQP7 AQP7L AQP9
O14522	O14522	PTPRT_HUMAN	Homo sapiens (Human)	PTPRT KIAA0283
O14523	O14523	C2C2L_HUMAN	Homo sapiens (Human)	C2CD2L KIAA0285 TMEM24 DLNB23
O14529	O14529	CUX2_HUMAN	Homo sapiens (Human)	CUX2 CUTL2 KIAA0293
O14545	O14545	TRAD1_HUMAN	Homo sapiens (Human)	TRAFD1 FLN29
O14561	O14561	ACPM_HUMAN	Homo sapiens (Human)	NDUFAB1
O14579	O14579	COPE_HUMAN	Homo sapiens (Human)	COPE
O14593	O14593	RFXK_HUMAN	Homo sapiens (Human)	RFXANK ANKRA1 RFXB
O14617	O14617	AP3D1_HUMAN	Homo sapiens (Human)	AP3D1 PRO0039
O14618	O14618	CCS_HUMAN	Homo sapiens (Human)	CCS
O14641	O14641	DVL2_HUMAN	Homo sapiens (Human)	DVL2
O14678	O14678	ABCD4_HUMAN	Homo sapiens (Human)	ABCD4 PXMP1L
O14684	O14684	PTGES_HUMAN	Homo sapiens (Human)	PTGES MGST1L1 MPGES1 PGES PIG12
O14686	O14686	KMT2D_HUMAN	Homo sapiens (Human)	KMT2D ALR MLL2 MLL4
O14727	O14727	APAF_HUMAN	Homo sapiens (Human)	APAF1 KIAA0413
O14732	O14732	IMPA2_HUMAN	Homo sapiens (Human)	IMPA2 IMP.18P
O14746	O14746	TERT_HUMAN	Homo sapiens (Human)	TERT EST2 TCS1 TRT
O14763	O14763	TR10B_HUMAN	Homo sapiens (Human)	TNFRSF10B DR5 KILLER TRAILR2 TRICK2 ZTNFR9 UNQ160/PRO186
O14764	O14764	GBRD_HUMAN	Homo sapiens (Human)	GABRD
O14773	O14773	TPP1_HUMAN	Homo sapiens (Human)	TPP1 CLN2 GIG1 UNQ267/PRO304
O14777	O14777	NDC80_HUMAN	Homo sapiens (Human)	NDC80 HEC HEC1 KNTC2
O14788	O14788	TNF11_HUMAN	Homo sapiens (Human)	TNFSF11 OPGL RANKL TRANCE
O14791	O14791	APOL1_HUMAN	Homo sapiens (Human)	APOL1 APOL
O14792	O14792	HS3S1_HUMAN	Homo sapiens (Human)	HS3ST1 3OST 3OST1
O14793	O14793	GDF8_HUMAN	Homo sapiens (Human)	MSTN GDF8
O14796	O14796	SH21B_HUMAN	Homo sapiens (Human)	SH2D1B EAT2
O14815	O14815	CAN9_HUMAN	Homo sapiens (Human)	CAPN9 NCL4
O14832	O14832	PAHX_HUMAN	Homo sapiens (Human)	PHYH PAHX
O14836	O14836	TR13B_HUMAN	Homo sapiens (Human)	TNFRSF13B TACI
O14867	O14867	BACH1_HUMAN	Homo sapiens (Human)	BACH1
O14917	O14917	PCD17_HUMAN	Homo sapiens (Human)	PCDH17 PCDH68 PCH68
O14920	O14920	IKKB_HUMAN	Homo sapiens (Human)	IKBKB IKKB
O14924	O14924	RGS12_HUMAN	Homo sapiens (Human)	RGS12
O14931	O14931	NCTR3_HUMAN	Homo sapiens (Human)	NCR3 1C7 LY117
O14936	O14936	CSKP_HUMAN	Homo sapiens (Human)	CASK LIN2
O14939	O14939	PLD2_HUMAN	Homo sapiens (Human)	PLD2
O14958	O14958	CASQ2_HUMAN	Homo sapiens (Human)	CASQ2
O14960	O14960	LECT2_HUMAN	Homo sapiens (Human)	LECT2
O14964	O14964	HGS_HUMAN	Homo sapiens (Human)	HGS HRS
O14974	O14974	MYPT1_HUMAN	Homo sapiens (Human)	PPP1R12A MBS MYPT1
O14976	O14976	GAK_HUMAN	Homo sapiens (Human)	GAK
O15016	O15016	TRI66_HUMAN	Homo sapiens (Human)	TRIM66 C11orf29 KIAA0298
O15021	O15021	MAST4_HUMAN	Homo sapiens (Human)	MAST4 KIAA0303
O15031	O15031	PLXB2_HUMAN	Homo sapiens (Human)	PLXNB2 KIAA0315
O15033	O15033	AREL1_HUMAN	Homo sapiens (Human)	AREL1 KIAA0317
O15037	O15037	KHNYN_HUMAN	Homo sapiens (Human)	KHNYN KIAA0323
O15047	O15047	SET1A_HUMAN	Homo sapiens (Human)	SETD1A KIAA0339 KMT2F SET1 SET1A
O15054	O15054	KDM6B_HUMAN	Homo sapiens (Human)	KDM6B JMJD3 KIAA0346
O15055	O15055	PER2_HUMAN	Homo sapiens (Human)	PER2 KIAA0347
O15056	O15056	SYNJ2_HUMAN	Homo sapiens (Human)	SYNJ2 KIAA0348
O15061	O15061	SYNEM_HUMAN	Homo sapiens (Human)	SYNM DMN KIAA0353 SYN
O15085	O15085	ARHGB_HUMAN	Homo sapiens (Human)	ARHGEF11 KIAA0380
O15091	O15091	MRPP3_HUMAN	Homo sapiens (Human)	PRORP KIAA0391 MRPP3
O15105	O15105	SMAD7_HUMAN	Homo sapiens (Human)	SMAD7 MADH7 MADH8
O15117	O15117	FYB1_HUMAN	Homo sapiens (Human)	FYB1 FYB SLAP130
O15118	O15118	NPC1_HUMAN	Homo sapiens (Human)	NPC1
O15119	O15119	TBX3_HUMAN	Homo sapiens (Human)	TBX3
O15123	O15123	ANGP2_HUMAN	Homo sapiens (Human)	ANGPT2
O15151	O15151	MDM4_HUMAN	Homo sapiens (Human)	MDM4 MDMX
O15160	O15160	RPAC1_HUMAN	Homo sapiens (Human)	POLR1C POLR1E
O15164	O15164	TIF1A_HUMAN	Homo sapiens (Human)	TRIM24 RNF82 TIF1 TIF1A
O15169	O15169	AXIN1_HUMAN	Homo sapiens (Human)	AXIN1 AXIN
O15178	O15178	TBXT_HUMAN	Homo sapiens (Human)	TBXT T
O15197	O15197	EPHB6_HUMAN	Homo sapiens (Human)	EPHB6
O15198	O15198	SMAD9_HUMAN	Homo sapiens (Human)	SMAD9 MADH6 MADH9 SMAD8
O15205	O15205	UBD_HUMAN	Homo sapiens (Human)	UBD FAT10
O15229	O15229	KMO_HUMAN	Homo sapiens (Human)	KMO
O15230	O15230	LAMA5_HUMAN	Homo sapiens (Human)	LAMA5 KIAA0533 KIAA1907
O15240	O15240	VGF_HUMAN	Homo sapiens (Human)	VGF
O15259	O15259	NPHP1_HUMAN	Homo sapiens (Human)	NPHP1 NPH1
O15265	O15265	ATX7_HUMAN	Homo sapiens (Human)	ATXN7 SCA7
O15269	O15269	SPTC1_HUMAN	Homo sapiens (Human)	SPTLC1 LCB1
O15270	O15270	SPTC2_HUMAN	Homo sapiens (Human)	SPTLC2 KIAA0526 LCB2
O15273	O15273	TELT_HUMAN	Homo sapiens (Human)	TCAP
O15294	O15294	OGT1_HUMAN	Homo sapiens (Human)	OGT
O15296	O15296	LX15B_HUMAN	Homo sapiens (Human)	ALOX15B
O15305	O15305	PMM2_HUMAN	Homo sapiens (Human)	PMM2
O15335	O15335	CHAD_HUMAN	Homo sapiens (Human)	CHAD SLRR4A
O15350	O15350	P73_HUMAN	Homo sapiens (Human)	TP73 P73
O15357	O15357	SHIP2_HUMAN	Homo sapiens (Human)	INPPL1 SHIP2
O15381	O15381	NVL_HUMAN	Homo sapiens (Human)	NVL NVL2
O15382	O15382	BCAT2_HUMAN	Homo sapiens (Human)	BCAT2 BCATM BCT2 ECA40
O15389	O15389	SIGL5_HUMAN	Homo sapiens (Human)	SIGLEC5 CD33L2 OBBP2
O15392	O15392	BIRC5_HUMAN	Homo sapiens (Human)	BIRC5 API4 IAP4
O15431	O15431	COPT1_HUMAN	Homo sapiens (Human)	SLC31A1 COPT1 CTR1
O15446	O15446	RPA34_HUMAN	Homo sapiens (Human)	POLR1G ASE1 CAST CD3EAP PAF49
O15460	O15460	P4HA2_HUMAN	Homo sapiens (Human)	P4HA2 UNQ290/PRO330
O15484	O15484	CAN5_HUMAN	Homo sapiens (Human)	CAPN5 NCL3
O15488	O15488	GLYG2_HUMAN	Homo sapiens (Human)	GYG2
O15492	O15492	RGS16_HUMAN	Homo sapiens (Human)	RGS16 RGSR
O15504	O15504	NUP42_HUMAN	Homo sapiens (Human)	NUP42 CG1 NUPL2
O15516	O15516	CLOCK_HUMAN	Homo sapiens (Human)	CLOCK BHLHE8 KIAA0334
O15520	O15520	FGF10_HUMAN	Homo sapiens (Human)	FGF10
O15527	O15527	OGG1_HUMAN	Homo sapiens (Human)	OGG1 MMH MUTM OGH1
O15533	O15533	TPSN_HUMAN	Homo sapiens (Human)	TAPBP NGS17 TAPA
O15537	O15537	XLRS1_HUMAN	Homo sapiens (Human)	RS1 XLRS1
O15550	O15550	KDM6A_HUMAN	Homo sapiens (Human)	KDM6A UTX
O15554	O15554	KCNN4_HUMAN	Homo sapiens (Human)	KCNN4 IK1 IKCA1 KCA4 SK4
O43151	O43151	TET3_HUMAN	Homo sapiens (Human)	TET3 KIAA0401
O43157	O43157	PLXB1_HUMAN	Homo sapiens (Human)	PLXNB1 KIAA0407 PLXN5 SEP
O43159	O43159	RRP8_HUMAN	Homo sapiens (Human)	RRP8 KIAA0409 NML hucep-1
O43173	O43173	SIA8C_HUMAN	Homo sapiens (Human)	ST8SIA3 SIAT8C
O43175	O43175	SERA_HUMAN	Homo sapiens (Human)	PHGDH PGDH3
O43187	O43187	IRAK2_HUMAN	Homo sapiens (Human)	IRAK2
O43236	O43236	SEPT4_HUMAN	Homo sapiens (Human)	SEPTIN4 C17orf47 PNUTL2 SEP4 SEPT4 hucep-7
O43242	O43242	PSMD3_HUMAN	Homo sapiens (Human)	PSMD3
O43255	O43255	SIAH2_HUMAN	Homo sapiens (Human)	SIAH2
O43278	O43278	SPIT1_HUMAN	Homo sapiens (Human)	SPINT1 HAI1 UNQ223/PRO256
O43290	O43290	SNUT1_HUMAN	Homo sapiens (Human)	SART1
O43291	O43291	SPIT2_HUMAN	Homo sapiens (Human)	SPINT2 HAI2 KOP
O43292	O43292	GPAA1_HUMAN	Homo sapiens (Human)	GPAA1 GAA1
O43307	O43307	ARHG9_HUMAN	Homo sapiens (Human)	ARHGEF9 ARHDH9 KIAA0424
O43353	O43353	RIPK2_HUMAN	Homo sapiens (Human)	RIPK2 CARDIAK RICK RIP2 UNQ277/PRO314/PRO34092
O43405	O43405	COCH_HUMAN	Homo sapiens (Human)	COCH COCH5B2 UNQ257/PRO294
O43424	O43424	GRID2_HUMAN	Homo sapiens (Human)	GRID2 GLURD2
O43426	O43426	SYNJ1_HUMAN	Homo sapiens (Human)	SYNJ1 KIAA0910
O43432	O43432	IF4G3_HUMAN	Homo sapiens (Human)	EIF4G3
O43435	O43435	TBX1_HUMAN	Homo sapiens (Human)	TBX1
O43451	O43451	MGA_HUMAN	Homo sapiens (Human)	MGAM MGA MGAML
O43464	O43464	HTRA2_HUMAN	Homo sapiens (Human)	HTRA2 OMI PRSS25
O43488	O43488	ARK72_HUMAN	Homo sapiens (Human)	AKR7A2 AFAR AFAR1 AKR7
O43493	O43493	TGON2_HUMAN	Homo sapiens (Human)	TGOLN2 TGN46 TGN51
O43497	O43497	CAC1G_HUMAN	Homo sapiens (Human)	CACNA1G KIAA1123
O43508	O43508	TNF12_HUMAN	Homo sapiens (Human)	TNFSF12 APO3L DR3LG UNQ181/PRO207
O43513	O43513	MED7_HUMAN	Homo sapiens (Human)	MED7 ARC34 CRSP9
O43520	O43520	AT8B1_HUMAN	Homo sapiens (Human)	ATP8B1 ATPIC FIC1 PFIC
O43521	O43521	B2L11_HUMAN	Homo sapiens (Human)	BCL2L11 BIM
O43524	O43524	FOXO3_HUMAN	Homo sapiens (Human)	FOXO3 FKHRL1 FOXO3A
O43526	O43526	KCNQ2_HUMAN	Homo sapiens (Human)	KCNQ2
O43559	O43559	FRS3_HUMAN	Homo sapiens (Human)	FRS3
O43570	O43570	CAH12_HUMAN	Homo sapiens (Human)	CA12
O43586	O43586	PPIP1_HUMAN	Homo sapiens (Human)	PSTPIP1 CD2BP1
O43597	O43597	SPY2_HUMAN	Homo sapiens (Human)	SPRY2
O43598	O43598	DNPH1_HUMAN	Homo sapiens (Human)	DNPH1 C6orf108 RCL
O43602	O43602	DCX_HUMAN	Homo sapiens (Human)	DCX DBCN LISX
O43603	O43603	GALR2_HUMAN	Homo sapiens (Human)	GALR2 GALNR2
O43612	O43612	OREX_HUMAN	Homo sapiens (Human)	HCRT OX PPORX PPOX
O43613	O43613	OX1R_HUMAN	Homo sapiens (Human)	HCRTR1
O43615	O43615	TIM44_HUMAN	Homo sapiens (Human)	TIMM44 MIMT44 TIM44
O43674	O43674	NDUB5_HUMAN	Homo sapiens (Human)	NDUFB5
O43683	O43683	BUB1_HUMAN	Homo sapiens (Human)	BUB1 BUB1L
O43704	O43704	ST1B1_HUMAN	Homo sapiens (Human)	SULT1B1 ST1B2 SULT1B2
O43707	O43707	ACTN4_HUMAN	Homo sapiens (Human)	ACTN4
O43709	O43709	BUD23_HUMAN	Homo sapiens (Human)	BUD23 MERM1 WBSCR22 HUSSY-03 PP3381
O43719	O43719	HTSF1_HUMAN	Homo sapiens (Human)	HTATSF1
O43745	O43745	CHP2_HUMAN	Homo sapiens (Human)	CHP2 HCA520
O43781	O43781	DYRK3_HUMAN	Homo sapiens (Human)	DYRK3
O43819	O43819	SCO2_HUMAN	Homo sapiens (Human)	SCO2
O43837	O43837	IDH3B_HUMAN	Homo sapiens (Human)	IDH3B
O43896	O43896	KIF1C_HUMAN	Homo sapiens (Human)	KIF1C KIAA0706
O43897	O43897	TLL1_HUMAN	Homo sapiens (Human)	TLL1 TLL
O43913	O43913	ORC5_HUMAN	Homo sapiens (Human)	ORC5 ORC5L
O43914	O43914	TYOBP_HUMAN	Homo sapiens (Human)	TYROBP DAP12 KARAP
O43927	O43927	CXL13_HUMAN	Homo sapiens (Human)	CXCL13 BCA1 BLC SCYB13
O60216	O60216	RAD21_HUMAN	Homo sapiens (Human)	RAD21 HR21 KIAA0078 NXP1 SCC1
O60229	O60229	KALRN_HUMAN	Homo sapiens (Human)	KALRN DUET DUO HAPIP TRAD
O60231	O60231	DHX16_HUMAN	Homo sapiens (Human)	DHX16 DBP2 DDX16 KIAA0577 PRP2
O60234	O60234	GMFG_HUMAN	Homo sapiens (Human)	GMFG
O60239	O60239	3BP5_HUMAN	Homo sapiens (Human)	SH3BP5 SAB
O60245	O60245	PCDH7_HUMAN	Homo sapiens (Human)	PCDH7 BHPCDH
O60259	O60259	KLK8_HUMAN	Homo sapiens (Human)	KLK8 NRPN PRSS19 TADG14 UNQ283/PRO322
O60260	O60260	PRKN_HUMAN	Homo sapiens (Human)	PRKN PARK2
O60264	O60264	SMCA5_HUMAN	Homo sapiens (Human)	SMARCA5 SNF2H WCRF135
O60271	O60271	JIP4_HUMAN	Homo sapiens (Human)	SPAG9 HSS KIAA0516 MAPK8IP4 SYD1 HLC6
O60281	O60281	ZN292_HUMAN	Homo sapiens (Human)	ZNF292 KIAA0530
O60306	O60306	AQR_HUMAN	Homo sapiens (Human)	AQR KIAA0560
O60307	O60307	MAST3_HUMAN	Homo sapiens (Human)	MAST3 KIAA0561
O60308	O60308	CE104_HUMAN	Homo sapiens (Human)	CEP104 KIAA0562
O60313	O60313	OPA1_HUMAN	Homo sapiens (Human)	OPA1 KIAA0567
O60315	O60315	ZEB2_HUMAN	Homo sapiens (Human)	ZEB2 KIAA0569 SIP1 ZFHX1B ZFX1B HRIHFB2411
O60318	O60318	GANP_HUMAN	Homo sapiens (Human)	MCM3AP GANP KIAA0572 MAP80
O60331	O60331	PI51C_HUMAN	Homo sapiens (Human)	PIP5K1C KIAA0589
O60333	O60333	KIF1B_HUMAN	Homo sapiens (Human)	KIF1B KIAA0591 KIAA1448
O60341	O60341	KDM1A_HUMAN	Homo sapiens (Human)	KDM1A AOF2 KDM1 KIAA0601 LSD1
O60343	O60343	TBCD4_HUMAN	Homo sapiens (Human)	TBC1D4 AS160 KIAA0603
O60449	O60449	LY75_HUMAN	Homo sapiens (Human)	LY75 CD205 CLEC13B
O60481	O60481	ZIC3_HUMAN	Homo sapiens (Human)	ZIC3 ZNF203
O60494	O60494	CUBN_HUMAN	Homo sapiens (Human)	CUBN IFCR
O60496	O60496	DOK2_HUMAN	Homo sapiens (Human)	DOK2
O60500	O60500	NPHN_HUMAN	Homo sapiens (Human)	NPHS1 NPHN
O60504	O60504	VINEX_HUMAN	Homo sapiens (Human)	SORBS3 SCAM1
O60508	O60508	PRP17_HUMAN	Homo sapiens (Human)	CDC40 EHB3 PRP17 PRPF17
O60543	O60543	CIDEA_HUMAN	Homo sapiens (Human)	CIDEA
O60563	O60563	CCNT1_HUMAN	Homo sapiens (Human)	CCNT1
O60566	O60566	BUB1B_HUMAN	Homo sapiens (Human)	BUB1B BUBR1 MAD3L SSK1
O60568	O60568	PLOD3_HUMAN	Homo sapiens (Human)	PLOD3
O60603	O60603	TLR2_HUMAN	Homo sapiens (Human)	TLR2 TIL4
O60658	O60658	PDE8A_HUMAN	Homo sapiens (Human)	PDE8A
O60669	O60669	MOT2_HUMAN	Homo sapiens (Human)	SLC16A7 MCT2
O60671	O60671	RAD1_HUMAN	Homo sapiens (Human)	RAD1 REC1
O60673	O60673	REV3L_HUMAN	Homo sapiens (Human)	REV3L POLZ REV3
O60674	O60674	JAK2_HUMAN	Homo sapiens (Human)	JAK2
O60701	O60701	UGDH_HUMAN	Homo sapiens (Human)	UGDH
O60711	O60711	LPXN_HUMAN	Homo sapiens (Human)	LPXN LDLP
O60716	O60716	CTND1_HUMAN	Homo sapiens (Human)	CTNND1 KIAA0384
O60759	O60759	CYTIP_HUMAN	Homo sapiens (Human)	CYTIP PSCDBP
O60760	O60760	HPGDS_HUMAN	Homo sapiens (Human)	HPGDS GSTS PGDS PTGDS2
O60763	O60763	USO1_HUMAN	Homo sapiens (Human)	USO1 VDP
O60828	O60828	PQBP1_HUMAN	Homo sapiens (Human)	PQBP1 NPW38 JM26
O60832	O60832	DKC1_HUMAN	Homo sapiens (Human)	DKC1 NOLA4
O60880	O60880	SH21A_HUMAN	Homo sapiens (Human)	SH2D1A DSHP SAP
O60882	O60882	MMP20_HUMAN	Homo sapiens (Human)	MMP20
O60885	O60885	BRD4_HUMAN	Homo sapiens (Human)	BRD4 HUNK1
O60888	O60888	CUTA_HUMAN	Homo sapiens (Human)	CUTA ACHAP C6orf82
O60895	O60895	RAMP2_HUMAN	Homo sapiens (Human)	RAMP2
O60896	O60896	RAMP3_HUMAN	Homo sapiens (Human)	RAMP3
O60907	O60907	TBL1X_HUMAN	Homo sapiens (Human)	TBL1X TBL1
O60911	O60911	CATL2_HUMAN	Homo sapiens (Human)	CTSV CATL2 CTSL2 CTSU UNQ268/PRO305
O60934	O60934	NBN_HUMAN	Homo sapiens (Human)	NBN NBS NBS1 P95
O60936	O60936	NOL3_HUMAN	Homo sapiens (Human)	NOL3 ARC NOP
O60942	O60942	MCE1_HUMAN	Homo sapiens (Human)	RNGTT CAP1A
O75015	O75015	FCG3B_HUMAN	Homo sapiens (Human)	FCGR3B CD16B FCG3 FCGR3 IGFR3
O75027	O75027	ABCB7_HUMAN	Homo sapiens (Human)	ABCB7 ABC7
O75030	O75030	MITF_HUMAN	Homo sapiens (Human)	MITF BHLHE32
O75044	O75044	SRGP2_HUMAN	Homo sapiens (Human)	SRGAP2 ARHGAP34 FNBP2 KIAA0456 SRGAP2A
O75084	O75084	FZD7_HUMAN	Homo sapiens (Human)	FZD7
O75112	O75112	LDB3_HUMAN	Homo sapiens (Human)	LDB3 KIAA0613 ZASP
O75129	O75129	ASTN2_HUMAN	Homo sapiens (Human)	ASTN2 KIAA0634
O75144	O75144	ICOSL_HUMAN	Homo sapiens (Human)	ICOSLG B7H2 B7RP1 ICOSL KIAA0653
O75146	O75146	HIP1R_HUMAN	Homo sapiens (Human)	HIP1R HIP12 KIAA0655
O75147	O75147	OBSL1_HUMAN	Homo sapiens (Human)	OBSL1 KIAA0657
O75151	O75151	PHF2_HUMAN	Homo sapiens (Human)	PHF2 CENP-35 KIAA0662
O75154	O75154	RFIP3_HUMAN	Homo sapiens (Human)	RAB11FIP3 ARFO1 KIAA0665
O75164	O75164	KDM4A_HUMAN	Homo sapiens (Human)	KDM4A JHDM3A JMJD2 JMJD2A KIAA0677
O75173	O75173	ATS4_HUMAN	Homo sapiens (Human)	ADAMTS4 KIAA0688 UNQ769/PRO1563
O75190	O75190	DNJB6_HUMAN	Homo sapiens (Human)	DNAJB6 HSJ2 MRJ MSJ1
O75208	O75208	COQ9_HUMAN	Homo sapiens (Human)	COQ9 C16orf49 HSPC326 PSEC0129
O75306	O75306	NDUS2_HUMAN	Homo sapiens (Human)	NDUFS2
O75317	O75317	UBP12_HUMAN	Homo sapiens (Human)	USP12 UBH1 USP12L1
O75334	O75334	LIPA2_HUMAN	Homo sapiens (Human)	PPFIA2
O75362	O75362	ZN217_HUMAN	Homo sapiens (Human)	ZNF217 ZABC1
O75366	O75366	AVIL_HUMAN	Homo sapiens (Human)	AVIL
O75369	O75369	FLNB_HUMAN	Homo sapiens (Human)	FLNB FLN1L FLN3 TABP TAP
O75376	O75376	NCOR1_HUMAN	Homo sapiens (Human)	NCOR1 KIAA1047
O75390	O75390	CISY_HUMAN	Homo sapiens (Human)	CS
O75391	O75391	SPAG7_HUMAN	Homo sapiens (Human)	SPAG7
