From	Entry	Entry Name	Organism	Gene Names
Q6DN90	Q6DN90	IQEC1_HUMAN	Homo sapiens (Human)	IQSEC1 ARFGEP100 BRAG2 KIAA0763
Q6E0U4	Q6E0U4	DMKN_HUMAN	Homo sapiens (Human)	DMKN UNQ729/PRO1411
Q6EIG7	Q6EIG7	CLC6A_HUMAN	Homo sapiens (Human)	CLEC6A CLECSF10 DECTIN2
Q6GPH4	Q6GPH4	XAF1_HUMAN	Homo sapiens (Human)	XAF1 BIRC4BP XIAPAF1
Q6GTX8	Q6GTX8	LAIR1_HUMAN	Homo sapiens (Human)	LAIR1 CD305
Q6HA08	Q6HA08	ASTL_HUMAN	Homo sapiens (Human)	ASTL
Q6IA69	Q6IA69	NADE_HUMAN	Homo sapiens (Human)	NADSYN1
Q6IEG0	Q6IEG0	SNR48_HUMAN	Homo sapiens (Human)	SNRNP48 C6orf151
Q6IMI6	Q6IMI6	ST1C3_HUMAN	Homo sapiens (Human)	SULT1C3
Q6IMN6	Q6IMN6	CAPR2_HUMAN	Homo sapiens (Human)	CAPRIN2 C1QDC1 EEG1 KIAA1873 RNG140
Q6IQ22	Q6IQ22	RAB12_HUMAN	Homo sapiens (Human)	RAB12
Q6IQ23	Q6IQ23	PKHA7_HUMAN	Homo sapiens (Human)	PLEKHA7
Q6IQ55	Q6IQ55	TTBK2_HUMAN	Homo sapiens (Human)	TTBK2 KIAA0847
Q6ISB3	Q6ISB3	GRHL2_HUMAN	Homo sapiens (Human)	GRHL2 BOM TFCP2L3
Q6ISU1	Q6ISU1	PTCRA_HUMAN	Homo sapiens (Human)	PTCRA
Q6KC79	Q6KC79	NIPBL_HUMAN	Homo sapiens (Human)	NIPBL IDN3 SCC2
Q6MZZ7	Q6MZZ7	CAN13_HUMAN	Homo sapiens (Human)	CAPN13
Q6N021	Q6N021	TET2_HUMAN	Homo sapiens (Human)	TET2 KIAA1546 Nbla00191
Q6N022	Q6N022	TEN4_HUMAN	Homo sapiens (Human)	TENM4 KIAA1302 ODZ4 TNM4
Q6NS38	Q6NS38	ALKB2_HUMAN	Homo sapiens (Human)	ALKBH2 ABH2
Q6NT76	Q6NT76	HMBX1_HUMAN	Homo sapiens (Human)	HMBOX1 HOT1 TAH1
Q6NUJ5	Q6NUJ5	PWP2B_HUMAN	Homo sapiens (Human)	PWWP2B PWWP2
Q6NUK1	Q6NUK1	SCMC1_HUMAN	Homo sapiens (Human)	SLC25A24 APC1 MCSC1 SCAMC1
Q6NVY1	Q6NVY1	HIBCH_HUMAN	Homo sapiens (Human)	HIBCH
Q6NXT2	Q6NXT2	H3C_HUMAN	Homo sapiens (Human)	H3-5 H3F3C
Q6P0N0	Q6P0N0	M18BP_HUMAN	Homo sapiens (Human)	MIS18BP1 C14orf106 KIAA1903 KNL2 M18BP1
Q6P0Q8	Q6P0Q8	MAST2_HUMAN	Homo sapiens (Human)	MAST2 KIAA0807 MAST205
Q6P161	Q6P161	RM54_HUMAN	Homo sapiens (Human)	MRPL54
Q6P179	Q6P179	ERAP2_HUMAN	Homo sapiens (Human)	ERAP2 LRAP
Q6P1J9	Q6P1J9	CDC73_HUMAN	Homo sapiens (Human)	CDC73 C1orf28 HRPT2
Q6P1K2	Q6P1K2	PMF1_HUMAN	Homo sapiens (Human)	PMF1
Q6P1M3	Q6P1M3	L2GL2_HUMAN	Homo sapiens (Human)	LLGL2
Q6P2H3	Q6P2H3	CEP85_HUMAN	Homo sapiens (Human)	CEP85 CCDC21
Q6P2Q9	Q6P2Q9	PRP8_HUMAN	Homo sapiens (Human)	PRPF8 PRPC8
Q6P4F2	Q6P4F2	FDX2_HUMAN	Homo sapiens (Human)	FDX2 FDX1L
Q6P4F7	Q6P4F7	RHGBA_HUMAN	Homo sapiens (Human)	ARHGAP11A KIAA0013
Q6P4R8	Q6P4R8	NFRKB_HUMAN	Homo sapiens (Human)	NFRKB INO80G
Q6P582	Q6P582	MZT2A_HUMAN	Homo sapiens (Human)	MZT2A FAM128A MOZART2A
Q6P587	Q6P587	FAHD1_HUMAN	Homo sapiens (Human)	FAHD1 C16orf36 YISKL
Q6PCD5	Q6PCD5	RFWD3_HUMAN	Homo sapiens (Human)	RFWD3 RNF201
Q6PD62	Q6PD62	CTR9_HUMAN	Homo sapiens (Human)	CTR9 KIAA0155 SH2BP1
Q6PGP7	Q6PGP7	SKI3_HUMAN	Homo sapiens (Human)	SKIC3 KIAA0372 TTC37
Q6PHW0	Q6PHW0	IYD1_HUMAN	Homo sapiens (Human)	IYD C6orf71 DEHAL1
Q6PI26	Q6PI26	SHQ1_HUMAN	Homo sapiens (Human)	SHQ1
Q6PI48	Q6PI48	SYDM_HUMAN	Homo sapiens (Human)	DARS2
Q6PIF6	Q6PIF6	MYO7B_HUMAN	Homo sapiens (Human)	MYO7B
Q6PIW4	Q6PIW4	FIGL1_HUMAN	Homo sapiens (Human)	FIGNL1
Q6PJ69	Q6PJ69	TRI65_HUMAN	Homo sapiens (Human)	TRIM65
Q6PJG6	Q6PJG6	BRAT1_HUMAN	Homo sapiens (Human)	BRAT1 BAAT1 C7orf27
Q6PJP8	Q6PJP8	DCR1A_HUMAN	Homo sapiens (Human)	DCLRE1A KIAA0086 SNM1 SNM1A
Q6PML9	Q6PML9	ZNT9_HUMAN	Homo sapiens (Human)	SLC30A9 C4orf1 HUEL
Q6R327	Q6R327	RICTR_HUMAN	Homo sapiens (Human)	RICTOR KIAA1999
Q6UVJ0	Q6UVJ0	SAS6_HUMAN	Homo sapiens (Human)	SASS6 SAS6
Q6UVK1	Q6UVK1	CSPG4_HUMAN	Homo sapiens (Human)	CSPG4 MCSP
Q6UVW9	Q6UVW9	CLC2A_HUMAN	Homo sapiens (Human)	CLEC2A KACL UNQ5792/PRO19597
Q6UWV6	Q6UWV6	ENPP7_HUMAN	Homo sapiens (Human)	ENPP7 UNQ3077/PRO9912
Q6UWZ7	Q6UWZ7	ABRX1_HUMAN	Homo sapiens (Human)	ABRAXAS1 ABRA1 CCDC98 FAM175A UNQ496/PRO1013
Q6UX04	Q6UX04	CWC27_HUMAN	Homo sapiens (Human)	CWC27 SDCCAG10 UNQ438/PRO871
